days,departure_date,now,pageid,price,title,titleid,titleurl,total
5,2019-04-04,15,P002,35300,汶萊五星帝國酒店．烏魯淡武廊國家公園５天,BWNBI90404GB,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BWNBI90404GB&sacctNo=23420481,16
5,2019-04-05,25,P002,35900,【聯營團★愛戀北海道】米其林料理、浪漫小樽、美蟹溫泉5日函旭,SPK190405ITA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=SPK190405ITA,26
10,2019-04-05,0,P002,74900,浪漫愛琴海雙島：聖托里尼、米克諾斯、天空之城、諸神的故鄉、希臘10天之旅,ES1090405CAA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=ES1090405CAA,27
6,2019-04-06,4,P002,17900,小資奇幻極光4+1晚2次遇見極光,AS0690406ZZA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=AS0690406ZZA,4
6,2019-04-06,4,P002,18400,長灘島直飛六日小資-台灣虎航,KLO06190406A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO06190406A&sacctNo=70845312,4
6,2019-04-06,4,P002,20400,長灘島直飛六日超值-台灣虎航,KLO06190406B,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO06190406B&sacctNo=70845312,4
5,2019-04-06,11,P002,22000,中越峴港風華再峴最美海灣~山茶半島世界遺產五日順化古都會安古鎮迦南島五行山。無購物.含稅險簽早午,DADFE90406GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=DADFE90406GA&sacctNo=23420481,20
6,2019-04-06,4,P002,22400,長灘島直飛六日精選-台灣虎航,KLO06190406C,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO06190406C&sacctNo=70845312,4
5,2019-04-06,18,P002,25800,菲悅巴拉望一島一飯店～直飛超值渡假五日遊～東南亞航空XO,PPS05190406A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=PPS05190406A&sacctNo=70845312,20
5,2019-04-06,25,P002,30900,【聯營團★愛戀北海道】浪漫小樽、百萬夜景、美蟹三溫泉5日旭函,SPK190406ITA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=SPK190406ITA,26
5,2019-04-06,9,P002,35900,【聯營團★花漾關西】浪漫逐櫻之旅5日,KIX190406PRA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KIX190406PRA,32
11,2019-04-06,0,P002,45900,藍色土耳其、蕃紅花城、愛琴海11日遊(鬱金香節),ME1190406EKA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=ME1190406EKA,21
10,2019-04-06,0,P002,71900,阿聯酋超值西班牙聖家堂佛朗明哥舞全覽10天,ES1090406EKA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=ES1090406EKA,21
10,2019-04-06,0,P002,75900,超值西葡雙國巴塞隆納全覽10天(一內陸段飛機),SS1090406EKA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=SS1090406EKA,21
10,2019-04-06,26,P002,98900,玩家領團義大利法拉利藍寶堅尼深度解說體驗10日,EW1090406EKA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=EW1090406EKA,27
10,2019-04-06,0,P002,103900,義猶未盡義大利西西里南北義完整全覽10日,EW4590406LXA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=EW4590406LXA,27
5,2019-04-07,20,P002,19500,長灘島直飛五日小資-東南亞航空XO,KLO05190407A,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190407A&sacctNo=70845312,20
5,2019-04-07,20,P002,21500,長灘島直飛五日超值-東南亞航空XO,KLO05190407B,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190407B&sacctNo=70845312,20
5,2019-04-07,5,P002,23500,長灘島直飛五日精選-東南亞航空XO,KLO05190407C,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=KLO05190407C&sacctNo=70845312,23
5,2019-03-30,27,P002,39900,【前16名收訂者優惠1千】【旗艦東瀛】三都春櫻序‧奈良.梅花鹿公園.琵琶湖.海津大崎風雅五日,OSACX90330PA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=OSACX90330PA&sacctNo=23420481,28
10,2019-03-31,0,P002,74900,浪漫愛琴海雙島：聖托里尼、米克諾斯、天空之城、諸神的故鄉、希臘10天之旅,ES1090331CAA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=ES1090331CAA,27
11,2019-04-07,0,P002,84900,摩西來了!西班牙摩洛哥直布羅陀11天,ES1190407EKA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=ES1190407EKA,26
5,2019-04-01,15,P002,28300,汶萊五星帝國酒店．長鼻猴生態５天,BWNBI90401GA,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BWNBI90401GA&sacctNo=23420481,16
5,2019-04-01,15,P002,32800,汶萊五星帝國酒店．烏魯淡武廊國家公園５天,BWNBI90401GB,http://www.orangetour.com.tw/EW/GO/GroupDetail.asp?prodCd=BWNBI90401GB&sacctNo=23420481,16
